cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS,INGRESOS-DIVERSOS,OTROS-INGRESOS-DIVERSOS,Otros-Ingresos-Diversos,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,8466.5,0,8466.5,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-DE-AULAS-Y-SALONES-DE-ACTOS,Alquiler-de-Aulas-y-Salones-de-Actos,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,730000,0,730000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ACCIONES-PUBLICITARIAS,Acciones-Publicitarias,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,20000,0,20000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-OTROS-PRODUCTOS-DE-INMUEBLES,Alquiler-Otros-Productos-de-Inmuebles,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,144454.84,0,144454.84,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,PRODUCTOS-DE-CONCESIONES-Y-APROVECHAMI-ESPECIALES,CONCESIONES-ADMINISTRATIVAS,CAFETERIAS-Y-COMEDORES,Cafeterias-y-Comedores,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,318174.58,0,318174.58,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,PRODUCTOS-DE-CONCESIONES-Y-APROVECHAMI-ESPECIALES,CONCESIONES-ADMINISTRATIVAS,LIBRERIAS-Y-TIENDAS,Librerias-y-Tiendas,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,21719.55,0,21719.55,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,PRODUCTOS-DE-CONCESIONES-Y-APROVECHAMI-ESPECIALES,CONCESIONES-ADMINISTRATIVAS,EDIFICIOS-Y-TERRENOS,Edificios-y-Terrenos,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,1651611.4,0,1651611.4,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,OTROS-INGRESOS-PATRIMONIALES,CANONES,CANON-ACTIVIDADES-DEPORTIVAS,Canon-Actividades-Deportivas,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,16800,0,16800,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,OTROS-INGRESOS-PATRIMONIALES,OTROS-INGRESOS-PATRIMONIALES,OTROS-INGRESOS-PATRIMONIALES,Otros-Ingresos-Patrimoniales,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,88116.7,0,88116.7,0,0
010,Universidad-Complutense-de-Madrid,2022,ACTIVOS-FINANCIEROS,REINTEGROS-PRESTAMOS-CONCEDIDOS-FUERA-SEC-PUBLICO,PRESTAMOS-A-CORTO-PLAZO,DE-ANTICIPOS-AL-PERSONAL,De-Anticipos-al-Personal,VR.PT.ECON-GERENCIA,TESORERIA,no-informado,no-informado,no-informado,2022-01-01T00:00Z,610000,0,610000,0,0
